iter	Passed	Remaining
0	9	9446
1	19	9626
2	27	9051
3	37	9461
4	45	9094
5	56	9383
6	67	9505
7	75	9366
8	85	9392
9	92	9168
10	102	9223
11	110	9087
12	120	9114
13	128	9025
14	137	9008
15	144	8892
16	153	8854
17	160	8769
18	169	8752
19	176	8669
20	184	8620
21	192	8576
22	201	8538
23	208	8466
24	216	8448
25	224	8394
26	232	8385
27	240	8343
28	249	8347
29	257	8316
30	265	8310
31	274	8292
32	283	8293
33	291	8271
34	299	8258
35	308	8258
36	316	8236
37	329	8333
38	337	8304
39	345	8300
40	353	8274
41	362	8265
42	370	8249
43	380	8256
44	387	8231
45	397	8235
46	405	8223
47	414	8218
48	422	8202
49	431	8193
50	439	8178
51	448	8177
52	457	8172
53	465	8158
54	475	8162
55	482	8137
56	492	8144
57	500	8127
58	509	8128
59	517	8113
60	527	8116
61	536	8111
62	544	8104
63	554	8104
64	562	8098
65	572	8103
66	581	8092
67	590	8091
68	598	8074
69	607	8067
70	615	8049
71	625	8057
72	633	8048
73	642	8039
74	650	8027
75	659	8013
76	667	8004
77	676	7997
78	685	7997
79	694	7984
80	703	7981
81	711	7966
82	721	7967
83	729	7950
84	738	7949
85	746	7937
86	756	7937
87	765	7928
88	773	7918
89	781	7906
90	790	7899
91	799	7893
92	808	7882
93	817	7881
94	826	7869
95	835	7867
96	844	7860
97	853	7853
98	861	7842
99	870	7832
100	878	7818
101	886	7805
102	894	7792
103	904	7788
104	912	7781
105	921	7769
106	930	7762
107	938	7750
108	948	7749
109	956	7739
110	965	7731
111	973	7718
112	982	7714
113	990	7699
114	999	7694
115	1008	7687
116	1017	7676
117	1025	7665
118	1033	7652
119	1041	7641
120	1050	7629
121	1058	7618
122	1067	7610
123	1076	7605
124	1084	7591
125	1094	7590
126	1102	7575
127	1111	7569
128	1118	7554
129	1128	7550
130	1136	7537
131	1145	7531
132	1153	7517
133	1162	7509
134	1169	7496
135	1178	7489
136	1186	7476
137	1195	7468
138	1203	7454
139	1212	7450
140	1221	7440
141	1229	7429
142	1238	7419
143	1246	7411
144	1255	7403
145	1264	7393
146	1272	7384
147	1280	7371
148	1289	7365
149	1297	7353
150	1306	7346
151	1314	7333
152	1323	7325
153	1330	7311
154	1339	7305
155	1347	7291
156	1356	7285
157	1364	7271
158	1373	7263
159	1381	7252
160	1390	7244
161	1397	7230
162	1407	7226
163	1415	7213
164	1423	7204
165	1431	7193
166	1440	7186
167	1448	7175
168	1457	7164
169	1465	7156
170	1474	7145
171	1483	7139
172	1491	7128
173	1499	7120
174	1508	7111
175	1517	7105
176	1525	7093
177	1534	7085
178	1542	7074
179	1551	7068
180	1559	7057
181	1568	7050
182	1576	7038
183	1585	7031
184	1593	7019
185	1601	7010
186	1609	6998
187	1618	6991
188	1626	6979
189	1635	6972
190	1643	6961
191	1653	6957
192	1662	6949
193	1670	6938
194	1678	6930
195	1687	6921
196	1695	6910
197	1703	6899
198	1712	6891
199	1720	6881
200	1729	6873
201	1736	6861
202	1745	6852
203	1753	6842
204	1762	6833
205	1769	6821
206	1778	6813
207	1786	6801
208	1794	6792
209	1802	6782
210	1812	6776
211	1820	6766
212	1829	6759
213	1837	6748
214	1846	6740
215	1853	6728
216	1862	6721
217	1870	6709
218	1879	6702
219	1887	6692
220	1896	6684
221	1904	6674
222	1913	6667
223	1921	6657
224	1930	6649
225	1939	6640
226	1946	6629
227	1955	6620
228	1963	6610
229	1971	6601
230	1979	6590
231	1988	6582
232	1996	6572
233	2005	6565
234	2013	6554
235	2022	6546
236	2030	6536
237	2039	6529
238	2047	6519
239	2056	6513
240	2064	6501
241	2073	6493
242	2080	6482
243	2089	6473
244	2097	6462
245	2105	6453
246	2113	6442
247	2122	6434
248	2130	6424
249	2139	6417
250	2147	6408
251	2156	6399
252	2163	6388
253	2172	6380
254	2180	6369
255	2189	6361
256	2197	6351
257	2205	6344
258	2213	6333
259	2222	6325
260	2230	6315
261	2239	6309
262	2248	6302
263	2257	6292
264	2265	6284
265	2274	6275
266	2283	6269
267	2291	6257
268	2300	6251
269	2308	6240
270	2317	6233
271	2325	6225
272	2336	6221
273	2344	6212
274	2353	6204
275	2361	6194
276	2371	6189
277	2380	6181
278	2389	6174
279	2398	6167
280	2407	6160
281	2416	6153
282	2425	6144
283	2435	6140
284	2445	6134
285	2454	6126
286	2464	6122
287	2473	6116
288	2483	6110
289	2492	6103
290	2501	6095
291	2510	6088
292	2519	6080
293	2529	6074
294	2538	6066
295	2548	6061
296	2556	6052
297	2565	6043
298	2573	6032
299	2582	6024
300	2590	6015
301	2599	6008
302	2607	5998
303	2617	5992
304	2626	5985
